Name,Job title,Organization,What are you working on in the field of social and economic justice?,What do you need from the Delegate community to move this work forward?,What are you able and willing to contribute to the Delegate community?
Cristina Valderrama (she/her),Interim Development Director,Girl Rising,Education - Gender Equity - Climate Change and Gender Equity,"Generate opportunities to discuss ways to advance gender equity globally and jointly develop commitments and collaborative strategies to achieve a world where all girls can learn, rise and thrive.","I am willing to share our learnings at Girl Rising, implementing educational programming in over seven countries and designing and implementing educational programming and curricula with girls, families, teachers, and entire communities to change how the world values girls and their education."
Madeleine Uwamahoro (she/her),Executive Director,Hope of Family,We working on the field of social economic where we assist vulnerable families to reduce extreme family poverty through efficient children's education,Share constructive and educational,Sharing with the delegates what we are doing to help vulnerable families in general in the country get out of poverty is beneficial.
"Tony Weaver, Jr. (he/him)",Executive Director,Weird Enough Productions,I'm creating supplementary education tools to support social emotional wellness and racial equity in schools.,I'm looking to network with other delegates working in this space.,Memes and anime recommendations
João Paulo Vergueiro (he/him),Latin America and the Caribbean Hub Director,GivingTuesday,Promotion of generosity throughout Latin America and the Caribbean,"Peer support, inspiration, connections","Bringing a perspective from the global south, inspiration, exchange."
Consoler Wilbert (she/her),Founder & Executive Director,New Hope For Girls,"Value to a girl child as boy and not disvalue a girl child because of her gender. To raise up a girl child until she become sustainable and happy with no violence and create awareness to individuals and any platform occurs to raise children equally and give all opportunities equally. Create awareness to individual, friends to be part of our family to support to raise these children together in all spheres of their life.

I work with a child independently and as the whole in the family by walking side by side with her step by step showing her how the world needs her with what she has been gifted by God to give the world and make a world a better place for all.

I work with family, showing how they are individually smart and intelligent, and they should look the world in wider ways and not in one way, especially looking the world only formal education but in wider perspectives such as Vocational, sports, music and entertainment and all other talents they have. 

Giving unconditional love to every child and bringing up a confident young girls and women who believe in themselves and work hard to become sustainable by employing  themselves or employed.

Individual and group counseling help them to accept, to forgive, and to move forward for their future life.","To visit our big family, to be part of our family to learn from us and for us to learn from them by sharing experiences of bringing up children from different backgrounds, tribes, behaviors in one family.

To be connected with like-minded deligets to share my big dream about how possible our children in out country who go through any challenges will have loving family to run to. 

Capacity building to some volunteers in various areas in our family. Also inviting deligetes to come and see areas in our family where they can volunteer to offer their skills to children even to us as parents. Having interested volunteers from deligetes will also provide a chance to advise for more beautiful family 

Learning from other deligetes work on same areas will add value on bringing up children. Their experience in this area, I believe, will give me another step in bringing up children with various skills learned from various constructive sources like this one. 

Educaction Scholarship Connection for children especially at Bachelors levels, masters and other lower levels. As such, a group of children sometimes may not be able to access such opportunities. Also, some children have special abilities that can be equipped early.","To share our family life, how God is helping us as two parents ( dad and mom) to raise up or to take care of more than 50 children in one family with so much love and joy.

I will be happy to share testimonies on how every child is a very good child despite any difficulty behaviors a child can have. 

Also, I will be willing to share how love is powerful medicine to the wounded heart, how love is powerful in changing any bad behavior and transform a child, and become an incredible child you never imagine.

Moreover, I will be very willing to share various lessons I have learned for being a mother for 18 years to different children with different historical backgrounds and different behaviors and different ages at one family. 

Ontop of that, I will be willing to share how my husband Eliya has been part of this family to continue in such peaceful and loving family for his support and how he is encouraging me in this daily work of bringing up these children in our family.

Also, I am happy to share my story of how I went through numerous torture and violence for seven years in my aunt and my uncle family. This journey I call it was my learning journey to be what I am today despite the pain I carry on my body until today. 

Lastly, I will be willing to share how it has been very easy and joyful for our biological children to be born in the midst of all the children in the family."
Liezl Van Riper (no preference),Chief Development Officer,New Story Homes,"We accelerate fundraising for high-impact social enterprises and nonprofits, and we work closely with funders to build the strategic planning and fundraising capacity of their grantees.","New connections to social entrepreneurs, funders and heads of fundraising to explore working together to accelerate fundraising.","We will once again hold a special convening of high-impact social entrepreneurs, heads of fundraising and of funders to enable deeper networking."
Rebecca Van Bergen (she/her),Founder & Executive Director,Nest,"Nest is a nonprofit 501(c)(3) supporting the responsible growth and creative engagement of the artisan & maker economy to build a world of greater gender equity and economic inclusion. Through programs that support the wellbeing of artisans both in the United States and globally, Nest is bringing radical transparency and opportunity to the informal handworker economy.","Connections, rejuvenation, inspiration, partnership","Connections, rejuvenation, inspiration, partnership"
Emily West (she/her),Executive Director,The West Foundation,"Livelihood Development, Women's Education, Community-Based Healthcare, Sustainable Agriculture, Potable Water Supply, Development of Community Voice","Exchange of ideas and information in a free-flowing, positive and open-minded atmosphere leaving room for differences of approach and opinion.",Giving of my time to meet during and after the OC with those seeking my assistance. Attendance at the OC with the same positive and open-minded attitude that I require and expect from others
Bianca Tylek (she/her),Executive Director,Worth Rises,Working to dismantle the prison industry and end the exploitation of those it targets.,"Support of all types -- financial, relationships, community, and more.","I have a lot of start up experience in the non-profit space as a founder with solid success in fundraising, strategic planning, legislative work, corporate accountability, regulatory work, and more, and I'm happy to share it all."
Raviv Turner,Steering committee member,Task Force on Nature-related Financial Disclosure (TNFD),We are a not for profit working with local communities and NGOs to accelerate investment in nature-based-solutions,"Looking to connect with international NGOs and indigenous people organization that have project development capabilities for nature based solutions such as regenerative agriculture, agroforestry, coral reef restoration etc","We are able and willing to contribute our technology, funding and network"
Louisa Trackman (she/her),Deputy Executive Director,Creative Action Institute,"Creative Action Institute catalyzes community driven solutions that advance gender equity and build a sustainable planet. We do this through training and coaching, opportunities to activate creative leadership and advocacy skills, and a platform for peer exchange. But as a small organization, we expand our reach by provide consulting services to other mission-aligned organizations by developing curriculum and training. I have particular expertise in climate justice and gender responsive education.","I would love to identify more community-based organizations that would be interested in participating in our programs as well as organizations that might benefit from our consulting services. In particular, I am hoping to develop an open access climate justice curriculum for and with youth focused organizations that want access to a curriculum but can't individually invest in it (in exchange, partners would share outcomes that would be pooled collectively). I would also love connections to foundation representatives who might be inspired to invest in our work.",I am excited to share our experience with de-siloing gender and climate related work!
Daniel Tillias (he/him),Board Chairman,SAKALA,Youth Employment Services,Networking,20 years of experience
Adam Stieglitz (he/him),Director of Operations,Andean Alliance for Sustainable Development,"I'm working to disrupt the coffee sector in Peru. I work directly with coffee farmers who are traditionally being socially and economically taken advantage of. Using a social enterprise model, I am trying to increase justice for farmers, while also spreading the word about ways to make the coffee supply chain more equitable",Hopefully create a new network to help grow and support our social enterprise and help make it sustainable.,"Over 12 years of experience working with campesino communities and various successes and failures along the way. I have helped manifest a bottom up, relationship oriented approach to development. These are terms many agree with, but it is hard to actually implement. I believe I can help make these ideas more tangible and achievable in practice."
Rachel Silverstein (no preference),Executive Director,Miami Waterkeeper,Climate change,"Communication tools, funding, and partnerships","I am a marine biologist with a Ph.D. studying the effect of climate change on corals, so ask me about any and all ocean creatures you may find in Miches!"
Carla Sinatra (she/her),BOD,Tanzanian Children’s Fund,"Youth Development, Education, micro-Finance",Network of great people,"Support in marketing, fundraising organization, strategic advice"
Shagun Sethi (she/her),Program Manager; Director of Global Leadership,Wedu; One Shared World,"Women's leadership, social development in environmental, human rights and gender-related areas in South and Southeast Asia","The delegate community at OC is inspiring, diverse, and endlessly supportive to say the least. I am looking forward to developing new ideas with delegates (as I did in 2022, with a pilot project already in the works!). I hope to open my mind to new, global ideas of social innovation all the while supporting, emboldening and enhancing the work done by the incredible organisations and delegates attending.","I am excited to host sessions on inclusive change making, and have collaborative conversations on community mapping. Additionally, I would like to mentor any young delegates attending, to not only make their experience fruitful but also help them emerge as young leaders in their respective fields!"
James Sempere (he/him),Founder,Gnu Foundation,Community & Family Empowerment,connections and collaborations,show up and actively participate
Alyson Small (she/her),President & Founder,Sustainable Connexions International,"Sustainable Connexions work with local and global partners to provide educational and global engagement programs to ensure vulnerable children in Ghana and the USA survive, thrive, and excel",To explore collaborative partnerships as well as social enterprise models to allow us to scale our work.,I am open to sharing my experiences in starting an NGO in Ghana and a 501c(3) in the USA. Happy to share lessons learned as we work to create bridges in connecting African American youth in the US with Ghanaian youth to explore cultural commonalities and differences
Camryn Smith (she/her),Executive Director,Communities in Partnership,"CIP is a community-rooted organizing and education organization based in Durham, NC. CIP focuses on addressing policy and systemic inequity for BIPOC and materially poor people focusing on social determinants of health, community based education and organizing, economic development, gentrification, and housing. CIP believes that ultimately the current system rooted in charity based economics serves as a primary driver of the racial wealth gap and believes in the inalienable right of all people to have the resources, ability and autonomy to create and sustain their own communities in all areas including physically, emotionally and spiritually. We believe that for charity to exist there has to remain deeply embedded systems of extraction, oppression, lack of ownership and dignity within communities and people. We infuse an analysis that looks at the true creation of wealth in the land upon which we live in the US which is from stolen land, stolen labor and stolen people and acknowledge that in the richest country in the world we have never lived out the ideals we have stated we were founded upon and imbibe as a country or as an American people. We work to create systems that are sustainable, wealth building collectively filled with respect of the earth and respect of humanity focusing on those whose humanity has been systematically denied and extracted to bring the creation of communities built with healing, abundance and liberation for all.","The ability for folks to be open, truthful and accountable and recognize the ways in which ""isms"" have harmed and continue to harm those at the margins.","To be present and bring my experience, gifts and humanity to contribute to the experience of this space and the benefit of others. I am also very much so looking forward to connecting and learning from fellow OC360 delegates and building relationships and connections with others seeking to build a world and systems not predicated on the extraction or harm of others."
Lisa Rose (she/her),"Founder, Colectivo","HUMANIST, STRATEGIST, STORYTELLER","I am dedicated to amplifying the voices of marginalized communities, fostering empathy, and challenging stereotypes through the power of compelling storytelling.

COLECTIVO partners with organizations to shape narratives, challenge entrenched power structures, and advance diversity, equity, and inclusion.

Let's collaborate for meaningful narrative change and bold impact.","To drive our work in social and economic justice forward, we rely on the collective strength of our Delegate community. Here's how you can contribute: 

1. Collaboration for Change: Join us in working across sectors to tackle challenges holistically and sustainably. 

2. Engagement & Expertise: Share your insights and ideas for effective solutions. 

3. Networking & Impact: Assist us in expanding our client base by networking with fellow delegates and maximizing our collective social impact.","COLECTIVO is your go-to expert for strategic communication and fundraising. Imagine a partner who crafts a compelling narrative, aligns with your values, and maximizes fundraising potential. 

With skills in narrative, branding, awareness campaigns, and fundraising, we'll elevate your message and help secure the resources you need. 

Let's create an authentic story that sets you apart."
Jennifer Rizzo-Choi (she/her),Executive Director,International Institute of Buffalo,Refugee and immigrant services,"Connections to national partners, and investment from private donors and partners so that we are not so reliant on federal and state grant funding",My knowledge as an immigration and human rights lawyer
Albert Rutikanga (he/him),Executive Director,PeacEdu Initiative Rwanda,"Our organization works in the area of peace building, reconciliation, social economic development and human rights education.",I need connections and funding from the Delegate Community and sharing any opportunity which may arise along the way.,I will share my experience with them in my field of work and the achievements accomplished.
Jean Scrimgeour (she/her),"Director, Operations and Growth",Accountability Lab,I am the current director of growth and strategy at Accountability Lab. We are a global translocal network looking to make governance work for people everywhere. We primarily focus on creative ways to build creative coalitions around accountability and anti-corruption.,"We see accountability as a value not a theme, therefore I am looking to build and strengthen networks around the intersectional issues that affect good governance and accountability.","I am a process oriented organisation innovator and network builder. These are skills that I have use to good effect in numerous organisations in both South Africa (my home country), the USA and Europe. I am excited both share and learn from delegates around issues of localisation, citizen engagement, organizational development amongst others."
Nina Sabarre (she/her),Founder & CEO,Intention 2 Impact,"Research, evaluation, and strategy to advance social justice and equity.",Opportunities to connect with purpose-driven organizations and funders who are interested in learning from data to improve their work and better tell their story.,"Technical support and guidance related to Monitoring, Evaluation, and Learning."
Rachael Richards (she/her),Executive Director,The Arthur B. Schultz Foundation,"Education, leadership, and economic opportunities for adolescent girls, women, and people with disabilities. Advocacy and appropriate wheelchair technology for people with disabilities.",Connections.  Collaborations.,"Connection, ideas, support."
Ricky Richard Anywar (he/him),Founder/CEO,Friends of Orphans,"We are working on economic empowerment of war affected communities, especially the youth, children and the women through Education, provision of better healthcare services, Agricultural livelihood support, vocational skills, women empowerment through micro financing. We provide hands on skills and tools necessary for the war affected communities to fight poverty and diseases surrounding them.",To learn and educate my self from other people doing the same work around the world.,"Share my experiences and knowledge i have been doing in the last 24 years with the youth, women and children."
Emily Rice (she/her),Program and Communications Officer,The West Foundation,"As the Program and Communications Officer for The West Foundation, I assist the director and board in providing funding and other resources to organizations that are actively uplifting those in need around the globe.","I need to learn about the ways others are making meaningful impact in international development, both as funders and as nonprofit organizations. I would like to learn more about how the West Foundation can provide support, beyond funding, to those working to eliminate poverty.","As someone who is still fairly new to working for a funder in international development, I bring an open mind and fresh perspective. I also bring my previous career experience working for nonprofits as a STEM education specialist and the training I received for my degree in anthropology."
Alexander Roque (he/him),President & Executive Director,Ali Forney Center,"Locally in New York, I lead the delivery of 31,000 mental health services for homeless LGBTQ youths in addition to the nation's largest housing program for this population and life skills development, career and educational programs, and more. Internationally, we work with 50 entities serving 8 countries in the introduction and development of this work.","Collaboration on connecting/raising awareness of this global issue. Engagement with investors, grant makers, and others who have the capacity to support.","Education, technical assistance, and support in the areas of youth homelessness, LGBTQ issues, the provision of mental health and medical services, housing, meals, and career and educational services."
Jenna Rogers-Rafferty (she/her),Founding Partner,Raise Up,Raise Up accelerates fundraising for high impact social enterprises and works with funders to level-up their portfolios of grantees.,Connections to organizations doing and funding high impact work.,"Share advice and best practices for successful fundraising. 
We will also host an intimate private convening of high-impact social entrepreneurs, heads of fundraising and funders to enable deeper networking for our clients and partners."
Drew Robinson (he/him),Director of Partnerships,Learning Upgrade,Global ESL and refugee self reliance through an online learning app.,I've already made some fantastic connections with fellow OC delegates. I would love to meet more providing education to individuals in need.,"Experience developing apps and learning management systems. Sales and marketing to US schools, districts and states. Building partnerships with international education providers."
Tobias Ounga (he/him),Executive Director,Tropical Focus for Rural Development,Rural livelihoods Education Agriculture Child protection Permaculture Social enterprise,"Grant support, connections, new ideas and experience sharing on rural livelihoods, social enterprise and education support",Ideas and experience sharing
Mohamed Osman (he/him),CEO,Spring Impact,Scaling impact,collaboration and partnership,Expertise on scaling solution sustainably and effectively
Malih Ole Kaunga (he/him),Founder/CEO,IMPACT (Indigenous Movement for Peace Advancement and Conflict Transformation),"working towards a secure, just and inclusive society for all.  I lead IMPACT work secure community rights to land, clean and safe water and support their efforts to ecosystem restoration and manage their natural resources and community livelihoods assets sustainably.  To restore and safeguard community dignity as enshrined in UN Charter and support women and youth income through Rasilimali grassroots capital - a resilience program that enables communities to build their climate change resilience by investing in their life skills talents, assets and mutual collaboration.","Open to learning, interacting, connecting and leverage my experience with great funders, allies and change drivers through great ideas and innovations. The power of mutual collaboration using shared spaces as a springboard to build trust and pathways to long term partnerships.","Sharing lived and learned experiences on
- community led grassroots social justice movement, land rights campaigns
- community building and self-organizing
-Community led solutions to building resilience to climate change hazards and risks though nature-based solution that strengthen, build voice and agency
- build livelihoods by securing their assets 
- investing in community institutions through enabling and directly resourcing 
- working to secure community land and nature rights"
Jackie Odhiambo (she/her),Founder/Executive Director,Nyanam Widows Rising,"We are a restorative justice organization, preparing widows to be leaders of positive social transformation in their communities through integrated programs in leadership, health, livelihoods, land justice and youth education. Our work alleviates widowhood poverty, mitigates the impact of HIV/AIDS, and gives widows the tools to tackle oppressive cultural, economic, and social practices that undermine widows’ dignity and limit their agency.","I am looking forward to learning more about community-based models for fighting poverty, and sustainable strategies for scaling such models. I am looking to connect with other partners to grow our work through funding and technical assistance. I am hoping to meet other implementing partners in the widowhood sector around the world and create collaborative connections for the future.","Conversations on meaningful and partnerships with communities we serve; cultivating deep listening in our organizations, partnerships for gender equality with focus on widowed women, investment opportunity for funders in similar space"
Melissa Pierce (she/her),Director of Development,DIG (Development in Gardening),"DIG improves the nutrition and livelihoods of uniquely marginalized communities by planting regenerative gardens that grow health, wealth, and a sense of belonging.","I hope to connect with thought leaders in the international development and agriculture space, both funders and implementers. I look forward to conversations that address challenges & opportunities in development, and exploring unique, nontraditional collaborations with both funders & implementers.",I hope to contribute DIG's experience as a community-led international development organization and the learnings we have found over our 15 year history. I also hope to be an encourager of out of the box thinking that is both results community driven.
Katherine Redington (she/her),Vice President of Social Impact Journeys,Elevate Destinations,"At Elevate Destinations, we believe that the act of travel is sacred. It has the power to transform lives and landscapes. Our mission is to implement sustainable travel programs that achieve our clients’ goals while supporting local destinations. We are interested in advancing the conversation for what travel can do out of the narrow scope of environmentalism and expanding this to include social justice and advocacy through thoughtfully designed trips and follow up. We work on signature trips for nonprofit specifically donor trips and learning journeys.",I am looking for new partners who are interested in designing donor trips that are aligned with our values and open to addressing power and privilege on such journeys.  We want partners who care deeply about the business decisions we make on trips and how to maximize the positive impact of these trips at a local level.,I love sharing best practices on donor trips and also supporting local tourism products that need to get to the market. We can provide an audit of a travel program to see if it is having its desired impact and support creating a strategy for a donor travel program.
Monica Nyiraguhabwa (she/her),Executive Director,Girl Up Initiative Uganda,"As a Girls rights advocate championing the leadership of Girl Up Initiative Uganda (GUIU), i am working on addressing the underlying factors that have overtime kept girls and young women in a repressive patriarchal system while denying them the opportunity to thrive in their own being. my work is geared towards ensuring that Girls and Young Women become active agents of girl-led change and act as spokespersons for the promotion and realization of their rights and ultimately can make a transformational impact on their families and communities.",Connections and Partneships,Authenticity in all diversity
Y. Elaine Rasmussen (she/her),Founder & CEO,ConnectUP! Institute,,,"My network, strategic and magical thinking!"
Manoj Panjwani (he/him),Independent Consultant,Self-Employed,"Within Catalyst 2030, I co-lead the following initiatives:
1) creation of a financing solutions platform that seeks to mobilize capital flow into the mental health sector","1) opportunities to tap into the wisdom and network of members operating in the above fields 
2) learn about new ideas and about new frontiers that fellow OC-ers are exploring","I am happy to: 
1) share my experience 
2) connect OC members to those within my network 
3) make myself available to help in any way I can and be supportive wherever possible"
Elena Panaritis,CEO - Foudner,Panel Group - Thought 4 Action,I work on informality. My objective is to create consciousness on the socieoeconomic and environmental impacts on people and countries. One of the main reasons of the growing global inequality and poverty is the alarmingly growing levels of informality. I have developed a transformation method with a very impressive successful track record.,to become members of the conscientious group for the transformation,I am happy to advise groups that want to work internationally in developing countries. I am also happy to create a salon on informality its impact and how can we change it.
Kakenya Ntaiya (she/her),Founder and President,Kakenya's Dream,We are working to end harmful practices like FGM and early child marriage and to provide girls from rural communities opportunities to go to school and reach their full potential.,I am looking for likeminded individuals who are passionate about this work to share learnings and possible collaborations.,I am available to share our experience of working in rural communities and our approach to end gender norms that have hindered many women and girl from achieving their full potential.
Teresia Njoroge (she/her),Founder & CEO,Clean Solutions Kenya,"We leverage on entrepreneurship to increase economic opportunities and transform the lives of imprisoned and formerly imprisoned women and girls, 47% of whom are imprisoned due to poverty survival related issues in Kenya and on the African continent. We amplify the power of those directly impacted by the criminal justice system by investing, educating, empowering, and elevating their voices, to build a movement that will advocate for the reforms we need to see in the criminal justice system - decriminalizing poverty and declassifying petty offences",1. Collaborations. 2. Funding opportunities. 3. Connections to Fellowships.,1. Awareness of issues on the ground in Africa. 2. Contacts of other amazing Social Entrepreneurs. 3. Support in areas I can.
Joseph Mouzon (he/him),Chief Operating Officer,Oakstop,"Oakstop is a coworking, meeting and event space for institutions and individuals working across several sectors and industries. The business operates an 80,000 square foot “campus” of commercial real estate that fuels strategic placemaking and creates an engaged ecosystem of customers and collaborators, who increasingly activate flexible workspace and gathering space with a focus on social impact and inclusion. Oakstop’s workforce development program focuses on upskilling and career pathways for Black working age adults (ages 18-64) seeking opportunities to work in a culturally relevant mission-driven business. Participants start by earning a living wage of $25+/hr while learning the necessary job skills to achieve higher wage jobs of $50+/hr in values-aligned organizations, including Oakstop and other organizations residing within its ecosystem. Participants who continue with the company after the initial 12-month leadership development phase will begin vesting in the company after 36 months, making them eligible for Oakstop’s employee stock ownership plan (ESOP), furthering their progress towards wealth creation. You can access more information via YouTube: https://www.youtube.com/watch?v=MtP9WmKG6uo https://www.youtube.com/watch?v=YCswgM-3BrE&t=9s www.oakstop.com",We are looking for grants or connections to funders who have an interest in workforce development and wealth creation for folks from lower socio-economic backgrounds.,I am willing to share my professional network and my health and wellness experience.
Evariste Ndikumana (he/him),Founder and Legal Representative,ASSEJEBA,"To promote the human rights of indigenous Batwa youth, women and communities in Burundi.",Making connections and have new opportunities will help me to move this work.,sharing my experiences on indigenous issues.
Bavidra Mohan (he/him),Director,Acumen,"I'm building the world's school for social change. Our mission is to unleash a new generation of social innovators and leaders with the character and competence to build a more just, inclusive and sustainable world","I'm looking for: 1) Funders, 2) Content Partners, 3) Content distribution partners","I can lead/facilitation sessions on moral leadership. I can offer connections/access to Acumen's community of 1,400 extraordinary builder working on issues of poverty."
Payton McGriff (she/her),Founder & CEO,Style Her Empowered (S H E),"S H E focuses on three core pillars: girls' education, women's employment, and environment. We remove financial and social barriers to education for girls living in rural Togo, Africa. In addition, we provide long-term, salaried, and protected employment for women from low-income and low-education backgrounds in our paid-to-learn employment program. And finally, we innovate products that are better for girls, women, and the planet. One example of this is our school uniform that expands up 6 sizes and 12 inches in length to help girls attend school confidently with a uniform that grows with them. Our work currently focuses in rural Togo, Africa, but we are extremely excited to explore opportunities to expand our work and service areas.","As we look to scale our work, we need well-aligned funding partners who can partner with us to expand our work to the communities where it's needed. We also need thought partners and advisors who can help us learn from their experience in scaling grassroots organizations.","We're willing to contribute our experiences and lessons learned to conversations around girls' and women's development work in rural communities. We're also willing to partner with organizations exploring similar societal challenges, and we're excited to explore opportunities to collaborate, pilot projects, etc. with those seeking grassroots partners to solve systemic problems affecting girls and women."
Connor Nickerson (she/her),Strategic Partnerships & Creative Director,NEID Global,NEID educates philanthropists on all 17 SDGs,Broaden my network through making meaningful connections.,My experience in the sector and my network.
Amy Newcomb (she/her),Founder/Director,Compacity Partners,"I design leadership and other educational training programs and experiences— often for budding change makers. My work also focuses on relationship building and collaborative efforts to build high impact organizations. For eight years I directed a high profile African leadership fellowship (YALI) for Dartmouth College (a private university in the U.S.). I continue to work with a broad range of global leaders through my consulting firm, Compacity Partners.","I am looking for inspiring connections and individuals who have interest in sharing knowledge and advice with younger (up-and-coming) global change makers. I am also hoping to re-energize myself in this space and gathering. So much of my work happens remotely and the chance to connect in-person is truly welcomed!
FELLOW PROGRAM DESIGNERS: Let's collaborate and share insights, tools, tips, and ideas! This work is so much more fun in partnership with others.
I am also hopeful to expand my network into the Portuguese speaking world as well-- I have been attempting to learn Portuguese and I spend several months each year in Brazil. I would love to collaborate with others on high-impact projects and use the space to learn from and with others around the globe.","I would love to listen to ideas and actions people are taking, help make connections within my own networks if they would be useful. I am also open to collaborating on projects, sharing knowledge, resources and combining efforts in meaningful ways!"
Doug Niemela (he/him),Executive Director,H2O for Life,"We are working to end the world water crisis and make sure that all schools have access to clean water, sanitation, and hygiene education.",We are looking for funding opportunities as well as NGO partners to assist with implementation for schools in need.,"Experience in nonprofit leadership, advocacy, fundraising, and budgeting. Also, experience navigating US Federal agencies and congress."
Euria Min (she/her),Director,Lipman Family Prize,The Barry & Marie Lipman Family Prize at the University of Pennsylvania is an annual global prize that celebrates leadership and innovation in the social sector with an emphasis on impact and transferability of practices. We are committed to resourcing and connecting change-makers to bring innovative ideas to new places and problems around the world.,"Connections to ensure our open application process is widely available to all geographic and sector areas to source applicants, and conversations with nonprofits and funders to think creatively about continually improving upon our own process.","Open dialogue and conversations about our experiences and challenges and opportunities, energy around idea generation and burstiness, leadership development content from the Wharton School, and learning frame to grow in our impact for the collective good."
Elisa Miller-Out (she/her),Managing Partner,Chloe Capital,"Gender & Diversity Lens Investing Impact Investing Climate, Education and Health Climate Justice",Connections,"Connections, mentorship, help navigating government resources, impact investment opportunities, program opportunities"
Namnyak Makko (she/her),Deputy Program Manager,Pastoral Women’s Council (PWC),"Girls’ Education, Women’s Economic Empowernment, Movement building for women’s rights and inclusive leadership, Sexual Reproductive Health, Climate Justice, WASH!","Partnership, collaboration and learning from organizations/instutitutions with similar values.",Experience sharing based on our 25 years of working with indigeneous women to buld their voices and agency to advocate for their own rights and become self reliant.
Jonathan Lamare (he/him),Chief Programs Officer,Mercy Beyond Borders,"Eduction of women and girls in countries where they are especially marginalized. The work of Mercy Beyond Borders serves a function against child trafficking, forced child marriage, child slavery, exploitation and abuse. Refugee rights. Women's empowerment and advocacy.","Connections, partnerships, exchange of ideas and thought contribution.","My experience as a foreigner working and living abroad with vulnerable populations. Orphans and vulnerable children. Child slaves. Survivors of forced marriage, abuse, war, and other trauma."
Sister Marilyn Lacey (she/her),Executive Director,Mercy Beyond Borders,"Forging ways for women & girls in extreme poverty to learn, connect & lead [by educating girls & young women in Haiti, South Sudan, Malawi and the refugee camps of Kenya & Uganda]",Exchange of ideas & experiences. Exploration of partnerships in the field. Best practices re monitoring & eval.,15 yrs of experience in very challenging and often dangerous parts of the world. Frank discussion of failures as well as successes.
Annette Twahirwa Kirabira (no preference),Executive Director,Rahab Uganda,providing aftercare services to survivors of trafficking in persons and prevention work,"Shared learning, resources beneficial to our work, connection that may be helpful in future support of survivors, or personal growth in my leadership",I can share my work experience and expertise where required
Anu Kumar (she/her),President & CEO,Ipas,Reproductive justice.,Connections References Partners,Expertise on Reproduction Justice
Cynthia Manirambona (she/her),CEO/Executive President,United for Children Burundi bw’Uno Musi (UCBUM),"I talk for underprivileged children and women. I bring partners to support 5000 underprivileged women for their résilience to subtitute eating from and in dumpsite by creating their own job. For example: 
A. 3400 women opened their bank account and are able to get crédit without their Man because they refuse them to take the kind of money while husband don't even contribute something for their children. 
B. 35000 children had return to school, enregistreted then know their identity. C. WOMEN ARE PROTECTING ENVIRONMENT BY TRANSFORMING PLASTIC, RUBBISH NOT SELECTED IN CHACOAT, GOOD NEWS OUR 95% USE TREES'CHACOAH, those forgotten underprivileged woman will produce enough chacoah then will bring a big solution in our country to don't cut trees. 
D. Me and my colleague try to give hope to teenager girls who are in prostitution by giving them hope. You can visit: www.ucbum.org","I am looking for 3 supports: 
1. Delegate in Éducation who can become our partner because where I work children need to sturdy but they don't have schools. 
2. Delegate in agriculture who can be partner because I need to feeding children at school and keep it durable, while women will try to rise their money. 
3. Delegate in environment, because we have big need for eradicate cutting tree and opportunity to around 10,000 women to get job by transforming dumpsite in a good needs. Consequence their children can eat 2 or 3 times per a day.","I need to join circles and contribute in whatever they need me. I need to do slam while I explain who is a woman (rich or poor) in Africa so in Burundi too. I will sell the beautiful thing women did, so I need a stand."
Lisa Kuhn (she/her),Founder and Lead Consultant,Impact on Point,"In my consulting practice, I support social purpose organizations to achieve clarity, tighten their focus on impact, ground their practice in evidence, and build alignment. In my volunteer work with the Global Leaders Assembly, I am focused on creating a platform for constructive, multi-stakeholder around big, intractable global problems. I am passionate about diversity and inclusion and holding space for diverse voices.",I'm looking to connect with organizations that would like a thought partner or support in elevating their impact.,I have 20+ years of experience working in a diversity of roles in social impact organizations. I love a good challenge and can offer an empathetic ear to anyone who's wrestling with how make a bigger impact in the world.
Lynn Malooly (she/her),Executive Director,Water for South Sudan,"Water, sanitation and hygiene access in South Sudan","Introduction to funders, connections to WASH sector and international development commjunity","My experience as an Executive Director of an international NGO, willingness to connect, network and support the OC community."
Rozella Kennedy (she/her),Director of Impact and Equity,Camber Collective,"As Director of Impact & Equity for Camber Collective, a global social advisory consultancy, I help direct internal Impact, Equity, and Belonging work as well as the external practice. My theory of impact seeks to leverage equitable values to influence and impact the humanitarian, development, philanthropic, and social impact sectors. The long focus is to expand awareness and practice in local and global post-colonial contexts.","more connections, more synergy, more lovingkindness",Excited about the All Boats Rise session I'm facilitating with Heidi Basch-Harod!
Conniel Malek (she/her),Executive Director,TRUE COSTS INITIATIVE,On the issues of holding corporations accountable for their footprint in the global south - corporate accountability and strong legal systems.,community building and meaningful connections,"speak on a panel that is relevant and aligns with my skill set, background and expertise"
Laté Lawson-Lartego,Chief Innovation Officer,Oxfam America,"I am working on Innovations to solve complex systemic inequality problems through aGILE, a Global Innovation Lab for Equality. aGILE aims to co-create and scale up solutions for the world’s greatest inequality challenges with partner organizations, people movements, universities, and think thanks around the globe. aGILE is also platform for connecting and amplifying the needs of those we serve with the knowledge, resources, and power of our growing ecosystem. Our focus thematic areas are at the intersection of climate action, economic justice, gender equality and humanitarian responses.","Partnerships, Ideas, Funding.","Leadership Circle Moderation, Coaching for new OC members and mid-career colleagues, networking with others."
Shehzad Lokhandwalla (he/him),Cofounder and CTO,OKO Finance,Income safety for smallholder farmers.,Connections,Technical consulting
